"Time (s),""Linear Acceleration x (m/s^2)"",""Linear Acceleration y (m/s^2)"",""Linear Acceleration z (m/s^2)"""
1.753493820E-1,-1.708959341E-1,3.613853455E-1,5.000591278E-2
1.951208930E-1,-6.485891342E-2,-5.438003540E-1,3.705501556E-2
2.148907890E-1,-9.833538532E-1,5.672073364E-2,2.393147469E0
2.346622990E-1,-2.155399084E0,3.634028435E-1,3.261227131E0
2.544321950E-1,-7.959969044E-1,-3.297257423E-1,5.824878693E0
2.742036530E-1,-2.123125553E0,-2.494306564E-1,1.699141026E0
2.939735490E-1,-7.388430238E-1,1.474618912E-2,-1.610682487E0
3.137450590E-1,-1.428964138E-1,-3.325519562E-1,1.708859444E0
3.335149550E-1,-2.782275677E-1,-3.900890350E-1,3.631201267E0
3.532864660E-1,-1.178956032E-1,2.903575897E-1,2.356887817E0
3.730563090E-1,1.924501657E-1,6.746978760E-1,5.874795914E-1
3.928278200E-1,1.772704124E-1,3.014998436E-1,-3.012456894E-1
4.125977160E-1,-1.444147587E0,7.800197601E-2,5.932807922E-3
4.323692260E-1,-7.006376982E-1,-9.451923370E-1,-9.939174652E-1
4.521391220E-1,2.987885475E-1,-2.941342354E0,2.346696854E0
4.719105800E-1,4.243209958E-1,-3.017632484E0,1.083220005E0
4.916804760E-1,-1.314774752E-1,-3.698096991E0,-9.495162964E-2
5.114519870E-1,-6.530532241E-1,-4.161465168E0,1.202727318E0
5.312218820E-1,-1.358934164E0,-2.488196850E0,7.276711464E-1
5.509933930E-1,-4.949305654E-1,-6.156206131E-1,-5.777969360E-1
5.707632370E-1,7.037272453E-1,-7.365484238E-1,-1.007090569E0
5.905347470E-1,2.741828918E0,-2.244719505E0,-3.855180740E-1
6.103046430E-1,2.884458303E0,-4.043583393E0,1.973710537E0
6.300761530E-1,4.150782585E0,-4.106935024E0,-9.145116806E-2
6.498460490E-1,2.089285135E0,-4.371423244E0,5.281548500E-1
6.696175070E-1,-4.393720627E-1,-4.244599342E0,1.150838852E0
6.893874030E-1,-7.546854019E-2,-3.341602564E0,8.512878418E-1
7.091589140E-1,2.133086681E0,-3.388763905E0,-3.375343800E0
7.289288090E-1,2.198221445E0,-5.610392094E0,-3.319268227E0
7.487002680E-1,1.231330872E0,-4.405270100E0,-1.677538395E0
7.684701640E-1,-1.491022110E0,-4.044284821E0,-2.007175446E0
7.882416740E-1,-2.359044552E0,-3.591382980E0,-2.988106728E0
8.080115700E-1,-1.234166145E0,-3.876763821E0,-2.375445366E0
8.277830800E-1,1.709279537E0,-4.033784389E0,-4.643663883E0
8.475529240E-1,5.258186340E0,-4.644835472E0,-1.192727089E0
8.673244340E-1,7.153651714E0,-6.246442795E0,3.858669758E0
8.870943300E-1,-2.250625372E0,-6.770719051E0,5.110522747E0
9.068658410E-1,-9.956945419E0,-5.829867363E0,-9.073109627E-1
9.266357370E-1,-1.167928886E1,-5.436346054E0,-3.365951538E0
9.464071950E-1,-1.646930695E1,-2.470520973E0,1.411449432E0
9.661770910E-1,-1.833239174E1,3.496479988E-2,5.971664906E0
9.859486010E-1,-1.486724758E1,6.418969631E-1,5.250584602E0
1.005718497E0,-1.682641602E1,2.396106720E-3,2.707979202E0
1.025490007E0,-2.237817001E1,2.802899599E0,-2.494565487E0
1.045259903E0,-2.075634384E1,5.284612179E0,-4.465460300E0
1.065031362E0,-1.289741516E1,4.301745415E0,-2.583289862E0
1.084801257E0,-6.781385422E0,5.876877308E0,6.903283596E-1
1.104572768E0,-2.753107071E0,7.375779152E0,3.510135412E0
1.124342664E0,-4.434566498E0,6.858420849E0,2.374818087E0
1.144114174E0,-5.184014320E0,1.451895714E0,1.897442436E1
1.163884018E0,1.281625748E0,-5.271840096E-1,2.518058777E0
