"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
9.735044000E-3,1.330799937E0,-2.283999920E-1,2.433399916E0
2.958348200E-2,1.493899941E0,2.069000006E-1,2.506299973E0
4.944129400E-2,1.104300022E0,8.237999678E-1,1.970799923E0
6.928816900E-2,8.491999507E-1,1.294899940E0,2.097399950E0
8.914129400E-2,-6.076999903E-1,1.841899991E0,2.117899895E0
1.089944190E-1,-7.511000037E-1,1.464200020E0,1.843199968E0
1.288459820E-1,5.460000038E-2,1.088500023E0,1.924999952E0
1.486991070E-1,3.034999967E-1,4.561999738E-1,1.042299986E0
1.685522320E-1,-6.439999491E-2,-8.789999783E-2,4.621999860E-1
1.884037940E-1,-3.300999999E-1,-5.217999816E-1,1.289899945E0
2.082569190E-1,-7.552999854E-1,-5.482000113E-1,1.610299945E0
2.281100440E-1,-7.936999798E-1,-2.748000026E-1,6.222000122E-1
2.479616070E-1,-5.727999806E-1,2.608999908E-1,-1.013000011E0
2.678209820E-1,-3.093000054E-1,3.759000003E-1,-1.949099898E0
2.876678570E-1,6.319999695E-2,7.270000130E-2,-1.401199937E0
3.075209820E-1,-8.150000125E-2,-1.297999918E-1,-1.428000033E-1
3.273725440E-1,-3.482999802E-1,-5.246999860E-1,6.399999559E-2
3.472256690E-1,-3.109000027E-1,-1.436900020E0,-1.324800014E0
3.670787940E-1,-1.255999953E-1,-9.235999584E-1,-1.714800000E0
3.869303570E-1,4.677999914E-1,-8.737999797E-1,-2.612499952E0
4.067834820E-1,1.438799977E0,-9.583999515E-1,-2.720099926E0
4.266366070E-1,2.243499994E0,-5.809000134E-1,-1.708499908E0
4.464881690E-1,8.991000056E-1,-4.671999812E-1,-1.397400022E0
4.663412940E-1,-2.351999879E-1,-4.201000035E-1,-2.189699888E0
4.861944190E-1,6.985999942E-1,7.049999833E-1,4.180999994E-1
5.060475440E-1,3.144799948E0,2.974999905E0,3.451299906E0
5.258991070E-1,6.349799633E0,2.727099895E0,4.402699947E0
5.457522320E-1,6.636399746E0,1.616299987E0,3.604099989E0
5.656053570E-1,3.397899866E0,9.089999795E-1,5.109899998E0
5.854569190E-1,1.598999947E-1,-2.595999837E-1,8.282799721E0
6.053147320E-1,-1.617599964E0,-2.630199909E0,7.782299995E0
6.251631690E-1,-1.631799936E0,-2.164700031E0,5.767299652E0
6.450147320E-1,2.313999981E-1,-1.495299935E0,3.650199890E0
6.648678570E-1,1.825099945E0,-1.093400002E0,2.246899843E0
6.847209820E-1,2.521199942E0,-7.780999541E-1,1.725799918E0
7.045741070E-1,1.919399977E0,-4.504999816E-1,4.459999874E-2
7.244256690E-1,2.078000009E-1,5.156999826E-1,-3.007699966E0
7.442787940E-1,-2.298399925E0,1.172899961E0,-4.695600033E0
7.641319190E-1,-3.598099947E0,1.144699931E0,-3.962499857E0
7.839834820E-1,-2.947700024E0,6.502000093E-1,-2.907199860E0
8.038366070E-1,-1.699399948E0,-3.400999904E-1,-2.955299854E0
8.236881690E-1,2.999999851E-4,-5.486999750E-1,-3.620999813E0
8.435412940E-1,9.975999594E-1,-4.115999937E-1,-4.659699917E0
8.633928570E-1,2.660899878E0,-2.349999920E-2,-3.157799959E0
8.832459820E-1,3.757799864E0,2.962000072E-1,2.913699865E0
9.030991070E-1,3.251600027E0,2.572000027E-1,8.822899818E0
9.229522320E-1,1.714599967E0,-9.775999784E-1,9.023300171E0
9.428053570E-1,1.118899941E0,-1.294299960E0,4.450500011E0
9.626569190E-1,3.484799862E0,-5.378999710E-1,-3.017999828E-1
9.825100440E-1,5.977599621E0,5.683000088E-1,-3.072099924E0
1.002361607E0,7.104300022E0,9.290000051E-2,-3.865799904E0
1.022214732E0,5.648200035E0,1.828999966E-1,5.274999738E-1
1.042067857E0,2.461199999E0,-2.611999810E-1,2.797899961E0
1.061920982E0,4.889999703E-2,3.647999763E-1,3.581699848E0
1.081772544E0,-1.441999972E-1,1.278800011E0,3.220499992E0
1.101625669E0,-8.299999870E-3,7.429999709E-1,2.676999867E-1
1.121478794E0,-1.109799981E0,-1.502999961E-1,-2.823400021E0
1.141330357E0,-1.575199962E0,-7.893999815E-1,-1.165799975E0
1.161183482E0,2.755599976E0,-8.571999669E-1,1.592599988E0
1.181036607E0,7.807999611E0,-2.071999907E-1,2.582900047E0
1.200888169E0,8.219099998E0,5.569999814E-1,-4.485999942E-1
1.220741294E0,7.723599911E0,6.859999895E-1,-2.545699835E0
1.240594419E0,6.050499916E0,6.123999953E-1,-2.560199976E0
1.260452232E0,4.354799747E0,1.481999904E-1,-6.624999642E-1
1.280299107E0,3.971599817E0,-4.655999839E-1,-2.516999841E-1
1.300152232E0,3.423799992E0,-1.935699940E0,-6.457999945E-1
1.320005357E0,5.098099709E0,-5.022999763E0,-1.220600009E0
1.339856919E0,3.294299841E0,-5.061899662E0,-3.428999782E-1
1.359710044E0,1.236999989E0,-6.129199982E0,-6.665299892E0
1.379563169E0,1.177199960E0,-7.507999897E0,-8.012599945E0
1.399416294E0,6.004999876E-1,-4.035900116E0,-5.866000056E-1
1.419267857E0,3.484899998E0,-3.517599821E0,4.233399868E0
1.439120982E0,3.941900015E0,-3.205799818E0,5.948199749E0
1.458974107E0,1.531799912E0,-1.152799964E0,5.405499935E0
1.478825669E0,1.524299979E0,9.030000120E-2,3.537099838E0
1.498678794E0,2.061800003E0,1.426899910E0,1.633000016E0
1.518531919E0,2.332599878E0,2.405299902E0,-3.814999759E-1
1.538383482E0,1.701200008E0,1.735199928E0,-1.581799984E0
1.558236607E0,2.054299831E0,4.589999840E-2,-7.389000058E-1
1.578094419E0,5.163700104E0,-6.862999797E-1,1.444000006E0
1.597941294E0,7.885200024E0,-5.852999687E-1,6.555500031E0
1.617794419E0,9.091499329E0,-1.315799952E0,3.677799940E0
1.637647544E0,5.826900005E0,-2.088999897E-1,-6.389299870E0
1.657500669E0,5.103999972E-1,-7.914999723E-1,-1.250799942E1
1.677352232E0,-3.736199856E0,-1.657999903E-1,-6.792599678E0
1.697205357E0,-1.641999930E-1,-3.529999778E-2,6.413699627E0
1.717058482E0,-2.916699886E0,-1.317899942E0,8.208399773E0
1.736910044E0,-8.044099808E0,5.985000134E-1,3.467399836E0
1.756769419E0,-9.031099319E0,2.277600050E0,-1.194899917E0
1.776616294E0,-6.876299858E0,4.253299713E0,-5.424099922E0
1.796469419E0,-2.287899971E0,7.320099831E0,-4.122399807E0
1.816320982E0,4.149999917E-1,7.462299824E0,9.729999900E-1
1.836174107E0,-1.024899960E0,3.710399866E0,2.692699909E0
1.856031919E0,-3.232199907E0,-3.603999913E-1,9.613999724E-1
1.875878794E0,-3.832199812E0,-2.323600054E0,-7.189999521E-2
1.895731919E0,-2.005499840E0,-1.127799988E0,-2.171499968E0
1.915583482E0,-5.763999820E-1,1.243600011E0,6.051999927E-1
1.935436607E0,2.522699833E0,1.334399939E0,2.295500040E0
1.955289732E0,8.083000183E0,1.499799967E0,2.822599888E0
1.975142857E0,9.574500084E0,-1.593400002E0,5.690000057E-1
1.994994419E0,6.665299892E0,-7.953999639E-1,-1.090999991E-1
2.014847544E0,4.613399982E0,-3.887999952E-1,4.257999957E-1
2.034699107E0,2.898999929E0,-8.901999593E-1,9.095000029E-1
2.054552232E0,-1.097700000E0,9.715999961E-1,1.301899910E0
2.074405357E0,-1.395200014E0,1.326499939E0,5.661999583E-1
2.094258482E0,2.019999921E-1,7.712999582E-1,-2.507999837E-1
2.114110044E0,-7.871999741E-1,-2.241999954E-1,-8.000999689E-1
2.133963169E0,-4.362499714E0,-1.490899920E0,6.556000113E-1
2.153814732E0,-6.950999737E0,-1.241400003E0,1.479900002E0
2.173667857E0,-8.328700066E0,-2.180000022E-2,2.393999994E-1
2.193520982E0,-4.632800102E0,5.580999851E-1,-1.456200004E0
2.213374107E0,-1.796599984E0,2.818699837E0,-1.991599917E0
2.233225669E0,8.589999676E-1,1.741899967E0,-3.056200027E0
2.253078794E0,-5.261999965E-1,9.151999950E-1,-1.639999986E0
2.272931919E0,-2.086999893E0,1.092399955E0,-7.823999524E-1
2.292783482E0,-2.125299931E0,3.477999866E-1,-1.728199959E0
2.312636607E0,-1.467199922E0,-9.574999809E-1,-2.618000031E0
