"Time (s),""Gyroscope x (rad/s)"",""Gyroscope y (rad/s)"",""Gyroscope z (rad/s)"""
1.753493820E-1,-1.152974248E0,1.761683464E0,2.226538211E-1
1.951208930E-1,-1.539640546E0,1.275449038E0,-8.521319181E-2
2.148907890E-1,-1.424801230E0,8.863393664E-1,-8.032641560E-2
2.346622990E-1,-6.661289334E-1,4.080459774E-1,2.648022771E-1
2.544321950E-1,2.415900975E-1,-1.753131598E-1,5.488462448E-1
2.742036530E-1,3.075616062E-1,4.886777997E-1,9.275715351E-1
2.939735490E-1,1.432436854E-1,1.231468081E0,1.022863746E0
3.137450590E-1,1.957765520E-1,7.837170362E-1,8.408312798E-1
3.335149550E-1,1.597365588E-1,-2.583884001E-1,6.306998134E-1
3.532864660E-1,9.132166207E-2,-9.559759498E-1,4.450022280E-1
3.730563090E-1,1.878355294E-1,-1.080588818E0,2.690782249E-1
3.928278200E-1,4.891359508E-1,-7.562289238E-1,9.559759498E-2
4.125977160E-1,8.232693672E-1,-2.437280566E-1,5.833591148E-2
4.323692260E-1,8.434273601E-1,6.035171151E-1,-1.298050433E-1
4.521391220E-1,1.200773001E0,1.113574505E0,-3.081724346E-1
4.719105800E-1,1.404796004E0,2.173394442E0,-1.065928489E-1
4.916804760E-1,1.215433359E0,2.324884653E0,-1.511846930E-1
5.114519870E-1,1.051115394E0,1.668834686E0,-3.008422852E-1
5.312218820E-1,1.016297102E0,9.290986657E-1,-4.126273096E-1
5.509933930E-1,8.336538076E-1,3.952181637E-1,-4.645493329E-1
5.707632370E-1,3.081724346E-1,4.636330605E-1,-9.252808690E-1
5.905347470E-1,2.721324563E-1,7.232431769E-1,-1.068830013E0
6.103046430E-1,7.298097610E-1,9.590302110E-1,-1.407850266E0
6.300761530E-1,9.063445926E-1,1.213753462E0,-2.447512150E0
6.498460490E-1,1.550788522E0,2.211266994E0,-2.501266718E0
6.696175070E-1,1.682731509E0,2.533183575E0,-1.779245377E0
6.893874030E-1,3.167243004E-1,3.293230295E0,-1.767028451E0
7.091589140E-1,-1.328898191E0,4.969395161E0,-1.887365341E0
7.289288090E-1,-2.089403152E0,3.265131235E0,-1.941730738E0
7.487002680E-1,-1.851783514E0,1.307213157E-1,-2.355274200E0
7.684701640E-1,-1.749161124E0,-1.486802220E0,-2.097496748E0
7.882416740E-1,-1.681967974E0,-2.126970053E0,-1.576444030E0
8.080115700E-1,-1.744885206E0,-1.673721433E0,-1.743205309E0
8.277830800E-1,-2.319081545E0,-4.520269856E-2,-2.287470341E0
8.475529240E-1,-2.132162333E0,-7.452336699E-2,-3.324688911E0
8.673244340E-1,-1.542083859E0,-1.623021126E0,-4.132839680E0
8.870943300E-1,-1.359440565E0,-2.858917952E0,-4.021665573E0
9.068658410E-1,-2.167591572E0,-2.112309933E0,-4.016778946E0
9.266357370E-1,-3.228633165E0,-5.876350403E-1,-4.730859280E0
9.464071950E-1,-3.315984249E0,5.699204803E-1,-4.769342899E0
9.661770910E-1,-2.658101797E0,6.016845703E-1,-4.212249756E0
9.859486010E-1,-2.101009130E0,2.980934680E-1,-3.726626396E0
1.005718497E0,-2.002051830E0,5.381564498E-1,-3.079128265E0
1.025490007E0,-2.336185455E0,2.425063610E0,-2.048629045E0
1.045259903E0,-2.881061077E0,3.792903423E0,-1.621646762E0
1.065031362E0,-3.138227701E0,4.617547035E0,-1.762752533E0
1.084801257E0,-3.154109716E0,5.216177464E0,-1.741372824E0
1.104572768E0,-2.899386406E0,5.958967686E0,-1.316833973E0
1.124342664E0,-2.813867807E0,2.813715219E0,1.524063945E-1
1.144114174E0,-2.909770966E0,-2.296785593E0,7.797465324E-1
1.163884018E0,-1.471836448E0,-5.656445622E-1,-1.127013192E-1
1.183655528E0,1.374406368E-2,-2.864873707E-1,-4.523324072E-1
1.203425424E0,3.038965166E-1,-1.040272832E0,-3.359660041E-3
1.223196934E0,-2.745758295E-1,-1.070204377E0,2.941229641E-1
1.242966830E0,-8.035695553E-1,-7.592831254E-1,-1.985253580E-2
1.262738289E0,-9.605573416E-1,-6.798729897E-1,-1.304158866E-1
1.282508184E0,-5.793886185E-1,-7.794411182E-1,2.901524492E-2
1.302279695E0,3.710896969E-1,-6.908682585E-1,-1.084253863E-1
1.322049591E0,1.317444801E0,-2.211267054E-1,-8.704573661E-2
1.341821049E0,1.384638071E0,3.487937748E-1,7.666133344E-2
1.361590945E0,6.754443645E-1,6.523848772E-1,3.662029207E-1
1.381362455E0,1.872246861E-1,-7.153021693E-1,9.862129092E-1
1.401132351E0,6.528429985E-1,-2.106812239E0,6.264238358E-1
1.420903809E0,2.006633282E-1,-1.460535765E0,-1.982657433E0
1.440673705E0,-1.010952219E-1,1.991362125E-1,-1.920961976E0
1.460445216E0,1.436560035E0,8.991671801E-1,2.269297540E-1
1.480215112E0,1.976549029E0,6.591041684E-1,-4.755446017E-1
1.499986622E0,1.503142357E0,7.482879162E-1,-4.682144225E-1
1.519756466E0,1.450762302E-1,7.317950130E-1,8.909206986E-1
1.539527976E0,-7.382088900E-1,-3.524588645E-1,1.066233873E0
1.559297872E0,-9.972081780E-1,-1.197260618E0,2.880144715E-1
1.579069382E0,-7.840224504E-1,-1.510014415E0,1.486496806E0
1.598839226E0,-1.105328083E0,-5.913001299E-1,2.097344160E0
1.618610737E0,-1.077839971E0,4.111002088E-1,1.497492075E0
1.638380632E0,-5.012001991E-1,8.667922616E-1,8.951966763E-1
1.658152143E0,-1.429077148E0,1.180767775E0,1.330119848E0
1.677921987E0,-1.785201073E0,4.428642690E-1,1.222610831E0
1.697693497E0,-1.551857471E0,9.529217333E-2,3.148917556E-1
1.717463393E0,-1.024085402E0,1.203369126E-1,-1.780619770E-1
1.737234903E0,-8.481613994E-1,3.426853120E-1,5.213581324E-1
1.757004747E0,-1.327065706E0,4.062134326E-1,9.532271624E-1
1.776776257E0,-1.749771953E0,-1.189930439E0,8.145648241E-1
1.796546153E0,-2.287622988E-1,-1.631573081E0,2.037175596E-1
1.816317612E0,-9.929322004E-1,-8.655705452E-1,-3.023693897E-2
1.836087507E0,-2.273267984E0,-1.735417008E0,-7.482878864E-2
1.855859018E0,-6.899519563E-1,-1.968149900E0,-1.291178346E0
1.875628862E0,3.600944579E-1,-7.812736630E-1,-2.581287861E0
1.895400372E0,1.872246861E-1,2.339545041E-1,-1.625311852E0
1.915170268E0,5.581616759E-1,9.559759498E-1,-6.933116168E-2
1.934941778E0,5.025745630E-1,1.706707239E0,-7.383615971E-1
1.954711622E0,1.085933685E0,1.668223858E0,-2.087112427E0
1.974483132E0,2.737053871E0,1.191763043E0,-1.580719948E0
1.994253028E0,2.812798977E0,7.586722970E-1,-1.716938972E0
2.014024487E0,1.676622987E0,-9.260444641E-1,-1.504364133E0
2.033794382E0,3.093941510E-1,-2.367033243E0,-1.541625738E0
2.053565841E0,-3.216110766E-1,-1.766570330E0,-2.121930599E0
2.073335737E0,2.373141646E-1,6.505523324E-1,-2.813409805E0
2.093107247E0,-2.861819267E-1,7.421793938E-1,-2.095053434E0
2.112877091E0,-9.037485123E-1,1.551551968E-1,-1.091431379E0
2.132648601E0,-8.102889061E-1,5.674771070E-1,-2.556395829E-1
2.152418497E0,-7.418739796E-1,2.706206083E0,4.804313779E-1
2.172189955E0,-5.054761171E-1,2.777064323E0,8.286142945E-1
2.191959851E0,-2.214321345E-1,2.737970114E0,1.951656938E-1
2.211731309E0,-1.157250166E0,7.635591030E-1,-1.938065648E0
2.231501205E0,-5.769452453E-1,1.521009684E0,-3.677147865E0
2.251272664E0,3.032856584E-1,9.236010313E-1,-4.237294674E0
