"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.524863050E-1,-2.881671906E0,-2.246696234E0,-3.440139055E0
1.722559410E-1,-2.212183237E0,-2.354205370E0,-3.484120131E0
1.920271390E-1,-1.119988441E0,-2.635195017E0,-3.230618477E0
2.117967740E-1,-7.705838084E-1,-2.672456741E0,-3.112114191E0
2.315680240E-1,-1.132205367E0,-2.503252029E0,-2.943520308E0
2.513376070E-1,-1.628824234E0,-2.076880693E0,-2.570903301E0
2.711088570E-1,-1.393648028E0,-1.499019146E0,-2.176906824E0
2.908784410E-1,-6.673506498E-1,-1.453205585E0,-1.743205309E0
3.106496910E-1,8.215895295E-2,-2.176448822E0,-1.619814277E0
3.304193260E-1,4.726430774E-1,-2.929776192E0,-1.906912446E0
3.501905240E-1,-4.306473210E-2,-2.673678398E0,-2.076117039E0
3.699601590E-1,-9.874345660E-1,-1.320040941E0,-2.016254187E0
3.897313570E-1,-1.090056896E0,-3.707842827E-1,-1.961888671E0
4.095009930E-1,-2.843494117E-1,-7.959339619E-1,-2.046796560E0
4.292722430E-1,5.697677732E-1,-2.064663649E0,-2.217833757E0
4.490418260E-1,7.175928354E-1,-2.676121950E0,-2.375432253E0
4.688130760E-1,3.210002482E-1,-2.258302212E0,-2.612441063E0
4.885827110E-1,-4.367557913E-2,-1.395175099E0,-2.649702787E0
5.083539090E-1,-2.745758295E-1,-9.150491953E-1,-2.473167896E0
5.281235450E-1,-5.030327439E-1,-1.280946732E0,-2.277696609E0
5.478947430E-1,-3.655920923E-1,-2.113531590E0,-2.341224909E0
5.676643780E-1,4.622586668E-1,-2.233257532E0,-2.205005884E0
5.874355760E-1,6.503996253E-1,-1.552773714E0,-1.719993114E0
6.072052110E-1,-9.468132630E-3,-9.932376146E-1,-1.506196618E0
6.269764610E-1,-6.203153729E-1,-9.602518678E-1,-1.653410792E0
6.467460450E-1,-8.102889061E-1,-1.199093223E0,-1.768860936E0
6.665172950E-1,-7.504258752E-1,-1.253458619E0,-1.638750434E0
6.862868780E-1,-5.250232220E-1,-1.131289124E0,-1.285069942E0
7.060581280E-1,-1.542389393E-1,-9.926267862E-1,-1.136023164E0
7.258277640E-1,-4.611896724E-2,-8.484668136E-1,-1.121362805E0
7.455989610E-1,-2.110477239E-1,-5.686988235E-1,-1.065775752E0
7.653685970E-1,-4.627167881E-1,-3.206948042E-1,-1.027292371E0
7.851397950E-1,-6.166502833E-1,-3.506263196E-1,-1.071884274E0
8.049094300E-1,-6.129852533E-1,-4.917320311E-1,-1.157402873E0
8.246806280E-1,-6.288672686E-1,-5.412106514E-1,-1.092042208E0
8.444502640E-1,-6.459710002E-1,-4.789042473E-1,-9.350544214E-1
8.642215140E-1,-5.891621709E-1,-5.241069198E-1,-8.391514421E-1
8.839910970E-1,-3.429907262E-1,-5.827482939E-1,-6.968240142E-1
9.037623470E-1,-1.169772521E-1,-5.992411375E-1,-4.731011987E-1
9.235319300E-1,-8.765657991E-2,-4.184303582E-1,-3.155026138E-1
9.433031800E-1,-1.017060652E-1,-3.005368412E-1,-2.800734639E-1
9.630727640E-1,6.261184067E-2,-3.005368412E-1,-2.867927849E-1
9.828440140E-1,2.189887464E-1,-3.982724249E-1,-2.031067163E-1
1.002613597E0,2.764083743E-1,-5.851916671E-1,-9.132166207E-2
1.022384847E0,2.391466945E-1,-7.818844914E-1,2.748812549E-3
1.042154430E0,9.132166207E-2,-7.495095730E-1,-2.168507688E-2
1.061925680E0,-1.982199401E-1,-3.915531039E-1,-4.062134400E-2
1.081695264E0,-5.097520351E-1,-2.113531530E-1,8.857285604E-3
1.101466514E0,-7.223268747E-1,-5.179984570E-1,-2.107422985E-2
1.121236097E0,-5.500679612E-1,-9.278770089E-1,-1.068982668E-2
1.141007347E0,-1.713426560E-1,-1.224137902E0,1.322484314E-1
1.160776930E0,-1.811162084E-1,-1.062874198E0,1.548497826E-1
1.180548180E0,-5.702258945E-1,-2.956500649E-1,1.872246861E-1
1.200317764E0,-7.803573608E-1,4.685198367E-1,3.436015844E-1
1.220089014E0,-6.026008129E-1,8.167027831E-1,5.573981404E-1
