,timestamp,acc_x,acc_y,acc_z
0,1663243311614,-1.1030912,4.19731,8.92792
1,1663243311614,-1.023829,4.2595234,8.9159565
2,1663243311614,-0.97836536,4.3005004,8.882457
3,1663243311614,-0.8682955,4.3531427,8.860921
4,1663243311614,-0.8324032,4.434499,8.892028
5,1663243311614,-0.7797611,4.4656053,8.918349
6,1663243311614,-0.7175477,4.511069,8.9470625
7,1663243311614,-0.686441,4.5397825,8.973384
8,1663243311614,-0.63858455,4.5708895,9.009576
9,1663243311614,-0.6122635,4.592425,9.023932
10,1663243311615,-0.5835496,4.616353,9.023932
11,1663243311615,-0.5691927,4.6378884,9.04786
12,1663243311615,-0.5285147,4.6522455,9.04786
13,1663243311615,-0.4636094,4.671388,9.052647
14,1663243311615,-0.46121657,4.6881375,9.067003
15,1663243311615,-0.42053857,4.6642094,9.062218
16,1663243311615,-0.44207397,4.64746,9.045467
17,1663243311615,-0.42053857,4.659424,9.062218
18,1663243311615,-0.401396,4.6259246,9.0646105
19,1663243311615,-0.37746778,4.6139603,9.090932
20,1663243311615,-0.35832518,4.618746,9.117252
21,1663243311615,-0.34396824,4.618746,9.155538
22,1663243311615,-0.34157544,4.616353,9.19143
23,1663243311615,-0.34636107,4.592425,9.198608
24,1663243311615,-0.3367898,4.5708895,9.258429
25,1663243311615,-0.34157544,4.5134616,9.303893
26,1663243311615,-0.3702893,4.4751763,9.330214
27,1663243311615,-0.39421752,4.4464626,9.330214
28,1663243311615,-0.43968117,4.3986063,9.332606
29,1663243311615,-0.48753762,4.3722854,9.368499
30,1663243311616,-0.53569317,4.3674994,9.34457
31,1663243311616,-0.5907281,4.360321,9.339785
32,1663243311616,-0.63858455,4.3651066,9.313464
33,1663243311616,-0.69122666,4.362714,9.308679
34,1663243311616,-0.7103692,4.336393,9.275179
35,1663243311616,-0.6936195,4.302893,9.189037
36,1663243311616,-0.6433702,4.2690945,9.086145
37,1663243311616,-0.63140607,4.247559,8.949456
38,1663243311616,-0.63140607,4.2188454,8.836993
39,1663243311616,-0.63140607,4.21406,8.64796
40,1663243311616,-0.64576304,4.2188454,8.4347
41,1663243311616,-0.6936195,4.2451663,8.250452
42,1663243311616,-0.75583285,4.2451663,8.01117
43,1663243311616,-0.8180462,4.281059,7.8050885
44,1663243311616,-0.86111706,4.281059,7.6256266
45,1663243311616,-0.91136634,4.343571,7.472486
46,1663243311616,-0.99990076,4.3651066,7.3576307
47,1663243311616,-1.0719845,4.3794637,7.299904
48,1663243311620,-1.1533405,4.3962135,7.2975106
49,1663243311620,-1.2562319,4.4225345,7.326524
50,1663243311624,-1.3926228,4.470391,7.379166
51,1663243311624,-1.5122639,4.5038905,7.446165
52,1663243311630,-1.605584,4.523033,7.513164
53,1663243311630,-1.6800606,4.5613184,7.6136627
54,1663243311634,-1.7781663,4.5852466,7.647162
55,1663243311634,-1.8834505,4.604389,7.675876
56,1663243311639,-1.9935204,4.6283174,7.70459
57,1663243311639,-2.0916262,4.6354957,7.752446
58,1663243311644,-2.1777678,4.6546383,7.862516
59,1663243311644,-2.3048863,4.657031,7.9011
60,1663243311649,-2.4029922,4.633103,8.015956
61,1663243311649,-2.525026,4.6618166,8.128419
62,1663243311654,-2.5896323,4.673781,8.228917
63,1663243311654,-2.6638098,4.700102,8.338987
64,1663243311659,-2.7526433,4.700102,8.410771
65,1663243311659,-2.78375,4.697709,8.432307
66,1663243311664,-2.8555348,4.690531,8.429914
67,1663243311664,-2.879463,4.6642094,8.437093
68,1663243311668,-2.9129624,4.6235313,8.478069
69,1663243311668,-2.8698916,4.578068,8.480463
70,1663243311673,-2.8172495,4.5014977,8.499605
71,1663243311673,-2.7502506,4.4081774,8.468498
72,1663243311679,-2.7212377,4.343571,8.422736
73,1663243311679,-2.6518457,4.2762733,8.348558
74,1663243311683,-2.5369902,4.235595,8.295917
75,1663243311683,-2.4364917,4.185346,8.221739
76,1663243311689,-2.3479571,4.1183467,8.12124
77,1663243311689,-2.2809582,4.0920258,8.023134
78,1663243311694,-2.1924238,4.0585265,7.91785
79,1663243311694,-2.1634107,4.032205,7.8553376
80,1663243311698,-2.0868404,3.9915273,7.759625
81,1663243311698,-2.0078773,3.9364924,7.745268
82,1663243311703,-1.9528424,3.8886359,7.7261252
83,1663243311703,-1.8954146,3.8766718,7.7069826
84,1663243311708,-1.8523438,3.8718863,7.6328053
85,1663243311708,-1.837987,3.8838503,7.5897346
86,1663243311713,-1.7925233,3.874279,7.5011997
87,1663243311713,-1.8451654,3.9077785,7.472486
88,1663243311718,-1.9145572,3.9628134,7.5514493
89,1663243311718,-1.9504496,3.9867415,7.673483
90,1663243311724,-2.0557337,4.0609193,7.8720875
91,1663243311724,-2.245066,4.065705,8.080562
92,1663243311728,-2.3982065,4.1111684,8.338987
93,1663243311728,-2.5633113,4.139882,8.5474615
94,1663243311733,-2.6303103,4.2332025,8.679067
95,1663243311734,-2.7789643,4.281059,8.762815
96,1663243311738,-2.8938198,4.2762733,8.829815
97,1663243311738,-2.98714,4.2978086,8.896813
98,1663243311743,-3.0254252,4.3411784,8.9470625
99,1663243311743,-3.1043882,4.3387856,8.9470625
100,1663243311747,-3.1307094,4.3387856,8.978169
101,1663243311747,-3.1187453,4.307679,8.992527
102,1663243311753,-3.0828528,4.319643,8.920742
103,1663243311753,-3.1259236,4.2595234,8.932706
104,1663243311758,-3.0972097,4.261916,8.848957
105,1663243311758,-3.054139,4.228417,8.755637
106,1663243311762,-2.9847472,4.2714877,8.650353
107,1663243311762,-2.9392836,4.2738805,8.504391
108,1663243311768,-2.9225338,4.237988,8.374879
109,1663243311768,-2.8842485,4.1925244,8.267202
110,1663243311772,-2.8148568,4.185346,8.123632
111,1663243311772,-2.74038,4.223631,7.958528
112,1663243311777,-2.714059,4.2188454,7.8003025
113,1663243311777,-2.714059,4.235595,7.702197
114,1663243311782,-2.7475586,4.261916,7.6423764
115,1663243311782,-2.7526433,4.307679,7.6663046
116,1663243311787,-2.7451658,4.3387856,7.685447
117,1663243311787,-2.7933214,4.345964,7.742875
118,1663243311792,-2.78375,4.384249,7.7668033
119,1663243311792,-2.8531418,4.4368916,7.8577304
120,1663243311797,-2.8818557,4.4799623,7.9680996
121,1663243311797,-2.9536405,4.525426,8.063812
122,1663243311802,-3.0086753,4.592425,8.219346
123,1663243311802,-3.0924242,4.673781,8.456534
124,1663243311807,-3.204887,4.750351,8.772387
125,1663243311807,-3.2910285,4.872684,9.016754
126,1663243311812,-3.3511481,4.930112,9.236894
127,1663243311812,-3.4707892,5.0162535,9.449855
128,1663243311817,-3.5521452,5.06411,9.60808
129,1663243311817,-3.6550367,5.1382875,9.722936
130,1663243311822,-3.7363925,5.1885366,9.8473625
131,1663243311822,-3.7387853,5.257929,9.911968
132,1663243311826,-3.7555351,5.291428,9.957433
133,1663243311826,-3.7483566,5.3105707,9.933504
134,1663243311832,-3.6861434,5.334499,9.883255
135,1663243311832,-3.6933217,5.3512487,9.833006
