,timestamp,acc_x,acc_y,acc_z
0,1663314879472,2.6054847,-9.968499,3.1989048
1,1663314879473,2.6581268,-9.937392,3.2611182
2,1663314879473,2.670091,-9.927821,3.2611182
3,1663314879473,2.7275188,-9.937392,3.2419755
4,1663314879473,2.7299116,-9.932607,3.155834
5,1663314879473,2.6772695,-9.9015,3.0146575
6,1663314879473,2.6629126,-9.889536,2.8351958
7,1663314879473,2.6413772,-9.875179,2.612364
8,1663314879473,2.5576284,-9.822537,2.385046
9,1663314879479,2.5313072,-9.829716,2.114358
10,1663314879479,2.495415,-9.844072,1.8391833
11,1663314879483,2.4499512,-9.817751,1.5373886
12,1663314879483,2.3518455,-9.760324,1.2646067
13,1663314879488,2.2271197,-9.700204,0.98674023
14,1663314879488,2.1768703,-9.693026,0.68524456
15,1663314879493,2.1218355,-9.6834545,0.42891344
16,1663314879493,1.9950159,-9.637991,0.21834506
17,1663314879498,1.8825532,-9.61167,-0.026021946
18,1663314879498,1.8227327,-9.597313,-0.2844468
19,1663314879503,1.7533408,-9.54467,-0.50458646
20,1663314879503,1.6262221,-9.465707,-0.6652047
21,1663314879509,1.5257236,-9.415458,-0.8255238
22,1663314879509,1.532902,-9.413065,-0.95712906
23,1663314879512,1.4539388,-9.365209,-1.0432707
24,1663314879512,1.3893327,-9.348459,-1.1368898
25,1663314879517,1.3390833,-9.331709,-1.1512468
26,1663314879518,1.2314063,-9.291031,-1.1440684
27,1663314879523,1.1883355,-9.2742815,-1.1632109
28,1663314879523,1.1497513,-9.300603,-1.1536397
29,1663314879528,1.1497513,-9.355638,-1.1033903
30,1663314879528,1.1234303,-9.360423,-1.0552348
31,1663314879532,1.0875379,-9.389137,-0.9403793
32,1663314879533,1.14018,-9.45135,-0.863809
33,1663314879535,1.14018,-9.496814,-0.74416786
34,1663314879540,1.0947163,-9.487243,-0.5838487
35,1663314879540,1.1042876,-9.537492,-0.40648076
36,1663314879545,1.1234303,-9.551849,-0.26291138
37,1663314879545,1.1306087,-9.582955,-0.052342996
38,1663314879550,1.1306087,-9.585348,0.098703936
39,1663314879550,1.1617154,-9.602098,0.27337998
40,1663314879556,1.2122638,-9.652348,0.46241298
41,1663314879556,1.2266207,-9.664311,0.6445666
42,1663314879560,1.2553346,-9.65474,0.8527422
43,1663314879560,1.2649059,-9.67149,1.0465608
44,1663314879565,1.3534403,-9.700204,1.1976078
45,1663314879565,1.4204394,-9.726525,1.3914263
46,1663314879569,1.4898312,-9.743574,1.5397813
47,1663314879569,1.5233307,-9.767502,1.6905292
48,1663314879575,1.5616158,-9.762716,1.8367904
49,1663314879575,1.6788642,-9.805787,1.9301106
50,1663314879579,1.7964116,-9.84168,2.033002
51,1663314879579,1.8681962,-9.844072,2.1191435
52,1663314879584,1.9208384,-9.865608,2.1646073
53,1663314879584,1.9375881,-9.875179,2.2124636
54,1663314879589,2.0021944,-9.9038925,2.2579272
55,1663314879589,2.0141585,-9.894321,2.2411776
56,1663314879594,2.0859432,-9.944571,2.1981068
57,1663314879594,2.140978,-9.973285,2.2172494
58,1663314879599,2.1385853,-9.994821,2.1765714
59,1663314879599,2.1003,-9.997213,2.1287148
60,1663314879604,2.0835502,-10.033105,2.05693
61,1663314879604,2.1074786,-10.092926,1.9588244
62,1663314879609,2.1385853,-10.135997,1.87029
63,1663314879609,2.0955145,-10.114461,1.7195421
64,1663314879614,2.018944,-10.107283,1.6019948
65,1663314879615,1.9806589,-10.090533,1.4273187
66,1663314879619,1.8921245,-10.054641,1.2765709
67,1663314879619,1.8705891,-10.059426,1.0896316
68,1663314879624,1.8538394,-10.064212,0.92931247
69,1663314879624,1.8083757,-10.057034,0.7905288
70,1663314879629,1.7461623,-10.037891,0.64217377
71,1663314879629,1.681257,-10.01157,0.53659046
72,1663314879635,1.5975082,-9.9756775,0.41934216
